match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
32,2021,Hyderabad,2019-06-19,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,3,0,Nicholas Pooran,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
33,2024,Hyderabad,2019-07-03,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,wickets,0,Sunrisers Hyderabad,0,7,Travis Head,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
34,2020,Delhi,2019-07-15,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,runs,0,Punjab Kings,77,0,Shikhar Dhawan,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
35,2022,Chennai,2019-07-30,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,0,3,Nitish Rana,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
36,2020,Lucknow,2019-08-10,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,field,runs,0,Lucknow Super Giants,18,0,Tailender 6,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
37,2018,Hyderabad,2019-08-28,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,wickets,0,Rajasthan Royals,0,8,Yashasvi Jaiswal,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
38,2019,Jaipur,2019-09-11,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,0,5,Shreyas Iyer,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
39,2020,Chennai,2019-09-22,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,22,0,Abhishek Sharma,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
40,2020,Delhi,2019-10-05,Punjab Kings,Mumbai Indians,Punjab Kings,bat,wickets,0,Mumbai Indians,0,5,Liam Livingstone,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
41,2018,Hyderabad,2019-10-23,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Lucknow Super Giants,0,5,MS Dhoni,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
42,2020,Delhi,2019-11-05,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,runs,0,Mumbai Indians,20,0,Tilak Varma,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
43,2024,Chennai,2019-11-19,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,runs,0,Sunrisers Hyderabad,35,0,Axar Patel,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
44,2022,Hyderabad,2019-11-30,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Royal Challengers Bengaluru,0,2,KL Rahul,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
45,2022,Hyderabad,2019-12-17,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,wickets,0,Punjab Kings,0,8,KL Rahul,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
46,2024,Chennai,2019-12-29,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,field,runs,0,Rajasthan Royals,19,0,Shimron Hetmyer,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
47,2021,Kolkata,2020-01-11,Delhi Capitals,Punjab Kings,Punjab Kings,field,runs,0,Delhi Capitals,13,0,Mitchell Marsh,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
48,2024,Delhi,2020-01-27,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Punjab Kings,0,5,Shikhar Dhawan,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
49,2022,Bengaluru,2020-02-13,Gujarat Titans,Royal Challengers Bengaluru,Gujarat Titans,field,runs,0,Royal Challengers Bengaluru,17,0,Virat Kohli,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
50,2023,Mohali,2020-02-22,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,wickets,0,Royal Challengers Bengaluru,0,3,Tailender 5,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
51,2019,Kolkata,2020-03-11,Chennai Super Kings,Gujarat Titans,Gujarat Titans,bat,wickets,0,Chennai Super Kings,0,5,Ajinkya Rahane,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
52,2020,Lucknow,2020-03-26,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,runs,0,Royal Challengers Bengaluru,31,0,Dinesh Karthik,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
53,2022,Hyderabad,2020-04-06,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,27,0,Abhishek Sharma,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
54,2020,Chennai,2020-04-21,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,41,0,Sanju Samson,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
55,2024,Mumbai,2020-05-05,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,runs,0,Delhi Capitals,25,0,Prithvi Shaw,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
56,2023,Hyderabad,2020-05-20,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,43,0,Quinton de Kock,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
57,2021,Ahmedabad,2020-06-03,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,wickets,0,Delhi Capitals,0,4,Tilak Varma,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
58,2024,Mumbai,2020-06-13,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,runs,0,Lucknow Super Giants,83,0,Ayush Badoni,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
59,2020,Jaipur,2020-07-02,Mumbai Indians,Gujarat Titans,Gujarat Titans,bat,runs,0,Gujarat Titans,23,0,Shubman Gill,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
60,2020,Ahmedabad,2020-07-14,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,wickets,0,Mumbai Indians,0,2,Riyan Parag,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
61,2018,Mohali,2020-07-27,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,wickets,0,Rajasthan Royals,0,5,Shikhar Dhawan,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
62,2020,Lucknow,2020-08-13,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,bat,runs,0,Kolkata Knight Riders,25,0,Rinku Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
63,2019,Mumbai,2020-08-26,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,runs,0,Chennai Super Kings,4,0,Ruturaj Gaikwad,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
64,2020,Lucknow,2020-09-06,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,field,runs,0,Gujarat Titans,42,0,Sai Sudharsan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
65,2018,Hyderabad,2020-09-24,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,runs,0,Kolkata Knight Riders,39,0,Venkatesh Iyer,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
66,2023,Mohali,2020-10-05,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,wickets,0,Mumbai Indians,0,5,Suryakumar Yadav,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
67,2021,Lucknow,2020-10-18,Punjab Kings,Chennai Super Kings,Punjab Kings,field,wickets,0,Punjab Kings,0,5,Shikhar Dhawan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
68,2020,Kolkata,2020-11-01,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,runs,0,Lucknow Super Giants,13,0,Nicholas Pooran,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
69,2018,Bengaluru,2020-11-19,Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,bat,wickets,0,Gujarat Titans,0,7,David Miller,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
70,2021,Hyderabad,2020-11-28,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,runs,0,Rajasthan Royals,6,0,Sam Curran,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
71,2019,Hyderabad,2020-12-15,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,field,wickets,0,Gujarat Titans,0,8,Sai Sudharsan,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
72,2022,Jaipur,2020-12-27,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,wickets,0,Rajasthan Royals,0,5,Jos Buttler,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
73,2023,Mumbai,2021-01-11,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,runs,0,Chennai Super Kings,1,0,Ruturaj Gaikwad,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
74,2023,Ahmedabad,2021-01-24,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,wickets,0,Delhi Capitals,0,4,Sanju Samson,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
75,2021,Mohali,2021-02-11,Gujarat Titans,Delhi Capitals,Gujarat Titans,bat,wickets,0,Delhi Capitals,0,2,Shubman Gill,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
76,2022,Jaipur,2021-02-24,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,runs,0,Mumbai Indians,35,0,Ishan Kishan,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
77,2021,Lucknow,2021-03-06,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Rajasthan Royals,0,7,Jos Buttler,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
78,2022,Mumbai,2021-03-23,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,field,runs,0,Royal Challengers Bengaluru,12,0,Glenn Maxwell,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
79,2024,Kolkata,2021-04-08,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,runs,0,Rajasthan Royals,59,0,Travis Head,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
80,2024,Ahmedabad,2021-04-21,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,runs,0,Gujarat Titans,16,0,Ruturaj Gaikwad,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
81,2019,Chennai,2021-05-02,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,bat,wickets,0,Gujarat Titans,0,1,Tailender 8,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
82,2021,Lucknow,2021-05-19,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,field,runs,0,Lucknow Super Giants,41,0,Quinton de Kock,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
83,2018,Mohali,2021-05-31,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,19,0,Ruturaj Gaikwad,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
84,2018,Bengaluru,2021-06-15,Gujarat Titans,Mumbai Indians,Gujarat Titans,bat,wickets,0,Mumbai Indians,0,7,Rohit Sharma,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
85,2019,Mumbai,2021-07-01,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,runs,0,Punjab Kings,7,0,Jos Buttler,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
86,2021,Lucknow,2021-07-10,Punjab Kings,Gujarat Titans,Punjab Kings,bat,wickets,0,Gujarat Titans,0,6,Shubman Gill,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
87,2019,Jaipur,2021-07-27,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,runs,0,Mumbai Indians,88,0,Suryakumar Yadav,"Sawai Mansingh Stadium, Jaipur",C Shamshuddin,KN Ananthapadmanabhan
88,2019,Bengaluru,2021-08-10,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,runs,0,Delhi Capitals,9,0,Mitchell Marsh,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
89,2023,Lucknow,2021-08-23,Delhi Capitals,Punjab Kings,Punjab Kings,bat,runs,0,Punjab Kings,54,0,Jitesh Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
90,2018,Mumbai,2021-09-07,Mumbai Indians,Punjab Kings,Punjab Kings,field,runs,0,Mumbai Indians,11,0,Jonny Bairstow,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
91,2024,Mumbai,2021-09-21,Delhi Capitals,Gujarat Titans,Gujarat Titans,bat,runs,0,Gujarat Titans,52,0,Shubman Gill,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
92,2024,Kolkata,2021-10-06,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,bat,runs,0,Lucknow Super Giants,35,0,Nicholas Pooran,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
93,2020,Hyderabad,2021-10-18,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,bat,wickets,0,Sunrisers Hyderabad,0,8,Heinrich Klaasen,"Rajiv Gandhi International Stadium, Hyderabad",C Shamshuddin,KN Ananthapadmanabhan
94,2018,Bengaluru,2021-11-03,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,runs,0,Punjab Kings,36,0,Liam Livingstone,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
95,2024,Ahmedabad,2021-11-15,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,wickets,0,Royal Challengers Bengaluru,0,6,Glenn Maxwell,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
96,2021,Chennai,2021-12-02,Punjab Kings,Gujarat Titans,Punjab Kings,field,wickets,0,Punjab Kings,0,4,Shubman Gill,"MA Chidambaram Stadium, Chepauk, Chennai",C Shamshuddin,KN Ananthapadmanabhan
97,2023,Mohali,2021-12-13,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,wickets,0,Chennai Super Kings,0,10,MS Dhoni,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
98,2018,Ahmedabad,2021-12-28,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,runs,0,Rajasthan Royals,17,0,Shreyas Iyer,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
99,2022,Delhi,2022-01-13,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,bat,runs,0,Delhi Capitals,17,0,David Warner,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
100,2023,Bengaluru,2022-01-24,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Chennai Super Kings,31,0,Mitchell Marsh,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
101,2023,Mohali,2022-02-07,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,runs,0,Royal Challengers Bengaluru,12,0,Glenn Maxwell,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
102,2020,Mohali,2022-02-19,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,wickets,0,Delhi Capitals,0,5,Tailender 5,"Punjab Cricket Association IS Bindra Stadium, Mohali",C Shamshuddin,KN Ananthapadmanabhan
103,2021,Mumbai,2022-03-09,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,wickets,0,Mumbai Indians,0,5,Tailender 7,"Wankhede Stadium, Mumbai",C Shamshuddin,KN Ananthapadmanabhan
104,2023,Lucknow,2022-03-23,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,runs,0,Sunrisers Hyderabad,80,0,Prithvi Shaw,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",C Shamshuddin,KN Ananthapadmanabhan
105,2020,Kolkata,2022-04-06,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,0,3,Andre Russell,"Eden Gardens, Kolkata",C Shamshuddin,KN Ananthapadmanabhan
106,2018,Bengaluru,2022-04-18,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,runs,0,Punjab Kings,14,0,Jos Buttler,"M Chinnaswamy Stadium, Bengaluru",C Shamshuddin,KN Ananthapadmanabhan
107,2021,Ahmedabad,2022-05-04,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,bat,wickets,0,Lucknow Super Giants,0,9,Quinton de Kock,"Narendra Modi Stadium, Ahmedabad",C Shamshuddin,KN Ananthapadmanabhan
108,2020,Delhi,2022-05-19,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,wickets,0,Lucknow Super Giants,0,9,KL Rahul,"Arun Jaitley Stadium, Delhi",C Shamshuddin,KN Ananthapadmanabhan
